No,Message,Emotion,Feeling,,
5458," #2:  Nat Edward-Yesufu ed "" DuaineRobes Some black folks are too much 😂 wheww relax !! It’s a TV show""",relax,happy, DuaineRobes Some black folks are too much 😂 wheww relax !! It’s a TV show,relax
5459," #3:  CasasRuralesValoriayCanduelas ed ""Nuestro entorno está rodeado de la riquísima #arquitectura del #románico y de la exuberante #naturaleza de la montaña palentina... ven a alojae con nosotros y disfruta de un entorno único. #Palencia #viajes  #relax #turismo""",relax,happy,Nuestro entorno está rodeado de la riquísima #arquitectura del #románico y de la exuberante #naturaleza de la montaña palentina... ven a alojae con nosotros y disfruta de un entorno único. #Palencia #viajes  #relax #turismo,relax
5460," #4:  hatena_tao ed ""  pfix806: Colors of Spring📸🌍#blossom #flowers #photography  #naturephotography #relax #spring https://t.co/KkFz1onjHZ""",relax,happy,  pfix806: Colors of Spring📸🌍#blossom #flowers #photography  #naturephotography #relax #spring https://t.co/KkFz1onjHZ,relax
5461," #5:  xkarola ed ""  DavideJnr: Sry not sry aga käi vittu oma 8-15€ piletiga + veel overkilled priced joogid + lisaks veel tasuta inimesed kes ei suuda alko…""",relax,happy,  DavideJnr: Sry not sry aga käi vittu oma 8-15€ piletiga + veel overkilled priced joogid + lisaks veel tasuta inimesed kes ei suuda alko…,relax
5462," #6:  Shahad Al_Mowanas ed ""  KianLawley: relax, it will pass""",relax,happy,"  KianLawley: relax, it will pass",relax
5463," #7:  Creative Studios ed ""  burnbake_dorset: Our #awardwinning, #selfcatering #accommodation is perfect for a #relaxing #break. Make #Burnbake your next #holiday #…""",relax,happy,"  burnbake_dorset: Our #awardwinning, #selfcatering #accommodation is perfect for a #relaxing #break. Make #Burnbake your next #holiday #…",relax
5464," #8:  뷔가내리고음악이흐르면 ed ""  paulocoelho: Relax: haters are secret admirers wanting to be you""",relax,happy,  paulocoelho: Relax: haters are secret admirers wanting to be you,relax
5465," #9:  David Duffield ed "" saramayspary People get very funny about me having a cleaner (especially those outside London), as neither me nor my paner are that well off. It's just, as an anxious procrastinator, who likes things fairly clean, there was too much weekend anxiety before I hired one. Now I can relax a bit.""",relax,happy," saramayspary People get very funny about me having a cleaner (especially those outside London), as neither me nor my paner are that well off. It's just, as an anxious procrastinator, who likes things fairly clean, there was too much weekend anxiety before I hired one. Now I can relax a bit.",relax
5466," #10:  Tery K. Bailey-Holly ed ""  krassenstein: I STAND for the Rule Of LawI STAND for transparencyI STAND with Nancy PelosiI STAND with Robe MuellerI STAND fo…""",relax,happy,  krassenstein: I STAND for the Rule Of LawI STAND for transparencyI STAND with Nancy PelosiI STAND with Robe MuellerI STAND fo…,relax
5467," #11:  g ed ""relax aja""",relax,happy,relax aja,relax
5468," #12:  David Winteon ⚓️ ed ""Always know I’ve arrived home when I spot these little babies. And relax! https://t.co/cbyYdHZWOB""",relax,happy,Always know I’ve arrived home when I spot these little babies. And relax! https://t.co/cbyYdHZWOB,relax
5469," #13:  CompassedShip ed "" Brazil2Wish  BRAPehSaint Relax. She ain't a casting director. 😂""",relax,happy, Brazil2Wish  BRAPehSaint Relax. She ain't a casting director. 😂,relax
5470," #14:  🤫 ed "" boofknhool Relax. Moving like a paedo victim.""",relax,happy, boofknhool Relax. Moving like a paedo victim.,relax
5471," #15:  Ideologically fluid ☄️ ed ""  PakinhoTonshu: [FOOTBALL MATCH ANALYSE]Champun Leagues Semi FinalBarca vs LiverpoolMessi will make happy relax play score 1 goalLiv…""",relax,happy,  PakinhoTonshu: [FOOTBALL MATCH ANALYSE]Champun Leagues Semi FinalBarca vs LiverpoolMessi will make happy relax play score 1 goalLiv…,relax
5472," #16:  hasu-hasu ed ""アメブロを更新しました。『これぞ正統派セラピスト！★新人★小林　美里  明日初出勤(｡•ᴗ•｡)♡』#札幌メンズエステhttps://t.co/DyIjkmjZd9""",relax,happy,アメブロを更新しました。『これぞ正統派セラピスト！★新人★小林　美里  明日初出勤(｡•ᴗ•｡)♡』#札幌メンズエステhttps://t.co/DyIjkmjZd9,relax
5473," #17:  질라 | 160 ☁ ed "" BTS_twt -Does it hu you 😭 !!What is huing you 😭 !!If something hus you just go to the doctor and relax 😭부디 아프지 말고요 😭""",relax,happy, BTS_twt -Does it hu you 😭 !!What is huing you 😭 !!If something hus you just go to the doctor and relax 😭부디 아프지 말고요 😭,relax
5474," #18:  Liam Mosh ed ""  adewalepresh: When you ask her “Where are going to?” and she replies with ""I'm going to see MY FRIEND"", Then she’s talking about a girl…""",relax,happy,  adewalepresh: When you ask her “Where are going to?” and she replies with ,relax
5475," #19:  Hot Girls ed ""  Holiday247365: Visit--->>https://t.co/RGkRrJWjSr#holiday #holidays #travel #vacation #trips #cruise #cruises  #hotels #resos #fligh…""",relax,happy,  Holiday247365: Visit--->>https://t.co/RGkRrJWjSr#holiday #holidays #travel #vacation #trips #cruise #cruises  #hotels #resos #fligh…,relax
5476," #20:  sh33p_purple ed "" Charles__Manson relax and have fun :D""",relax,happy, Charles__Manson relax and have fun :D,relax
5477," #21:  alessia s/h ed ""i ragazzi stanno avendo un po' di tempo libero e si stanno diveendo, sono così felice per loro, meritano un po' di relax""",relax,happy,"i ragazzi stanno avendo un po' di tempo libero e si stanno diveendo, sono così felice per loro, meritano un po' di relax",relax
5478," #22:  HMRC Victim #LCAG #STOPtheLoanCharge #SaveLives! ed ""  TheRungler:  MelJStride  SkyNews Good that you were able to relax and enjoy the weekend Mel, but your Loan Charge denied the same to th…""",relax,happy,"  TheRungler:  MelJStride  SkyNews Good that you were able to relax and enjoy the weekend Mel, but your Loan Charge denied the same to th…",relax
5479," #23:  oskar ed ""Left a comment on ""RELAX"" https://t.co/Q9FcmDLWiL by  71Oskar""",relax,happy,Left a comment on ,relax
5480," #24:  ☮ LIS ♥ ALFARO ♥ ed ""  krassenstein: I STAND for the Rule Of LawI STAND for transparencyI STAND with Nancy PelosiI STAND with Robe MuelleI STAND fo…""",relax,happy,  krassenstein: I STAND for the Rule Of LawI STAND for transparencyI STAND with Nancy PelosiI STAND with Robe MuelleI STAND fo…,relax
5481," #25:  Attack Mode ed ""  OfWudan: Finding people who are genuinely hungry for money and want to do the work is near impossible.“Oh this weekend I have to..”“…""",relax,happy,  OfWudan: Finding people who are genuinely hungry for money and want to do the work is near impossible.“Oh this weekend I have to..”“…,relax
5482," #26:  Book Pizzazz ed ""3 Basic Steps for connecting your WordPress RSS feed to Twitter, Facebook and other Social Media Sites - How would you like to click the Publish button in your WordPress blog or website, then step back and relax while your post is... https://t.co/Ou2NKvdgjY""",relax,happy,"3 Basic Steps for connecting your WordPress RSS feed to Twitter, Facebook and other Social Media Sites - How would you like to click the Publish button in your WordPress blog or website, then step back and relax while your post is... https://t.co/Ou2NKvdgjY",relax
5483," #27:  Marvy with Luv♡ ed ""Bumalik uli ako sa dagat kanina para maka relax uli sa mind. . . .""",relax,happy,Bumalik uli ako sa dagat kanina para maka relax uli sa mind. . . .,relax
5484," #28:  ♤ 𝐀𝐥𝐲𝐬𝐬𝐚 𝐑𝐨𝐬𝐞 ♤ ed ""  BrandonLBlair: Don’t stay up tonight worrying about what tomorrow may hold. Breathe. Relax. Rest. You don’t have to fear. God’s got you.""",relax,happy,  BrandonLBlair: Don’t stay up tonight worrying about what tomorrow may hold. Breathe. Relax. Rest. You don’t have to fear. God’s got you.,relax
5485," #29:  Mommy's On Valium ed ""Me: power scrubs entire house ""tomorrow I can finally just relax""The universe: HAHAHAHAHA YOU HAVE 4 KIDS BITCH""",relax,happy,Me: power scrubs entire house ,relax
5486," #30:  PainKiller💊🏳️‍🌈 ed ""  Imhydross: Kan gövdeyi götürüyor relax diyor daha çok sinirlendim şuan https://t.co/j07Mqbi1AP""",relax,happy,  Imhydross: Kan gövdeyi götürüyor relax diyor daha çok sinirlendim şuan https://t.co/j07Mqbi1AP,relax
5487," #31:  PM NJERU ed "" mwende___ You ladies are out here bragging about your boyfriends....relax! We are their friends and we know they are single 😂😇😂😂😂😂""",relax,happy, mwende___ You ladies are out here bragging about your boyfriends....relax! We are their friends and we know they are single 😂😇😂😂😂😂,relax
5488," #32:  Hab ed ""  shiroarcher: [LIVE] Back on the #Forager grind!Day 2 of Fasting & Gaming! let's #chill #relax & enjoy the day.All are welcome to han…""",relax,happy,  shiroarcher: [LIVE] Back on the #Forager grind!Day 2 of Fasting & Gaming! let's #chill #relax & enjoy the day.All are welcome to han…,relax
5489," #33:  Loppu ed "" ThatOneLu ""Exactly! When not in a match or studying for class, it's nice to just relax and slow down.""""",relax,happy, ThatOneLu ,relax
5490," #34:  Hab ed ""[LIVE] Back on the #Forager grind!Day 2 of Fasting & Gaming! let's #chill #relax & enjoy the day.All are welcome to hangout w/ moi!Tuesday FUN!#TheCrusaders #SuppoSmallStreamers #Livestreaminghttps://t.co/WIYl6XCypR https://t.co/okwyJxbw6l""",relax,happy,[LIVE] Back on the #Forager grind!Day 2 of Fasting & Gaming! let's #chill #relax & enjoy the day.All are welcome to hangout w/ moi!Tuesday FUN!#TheCrusaders #SuppoSmallStreamers #Livestreaminghttps://t.co/WIYl6XCypR https://t.co/okwyJxbw6l,relax
5491," #35:  ✰정maudie ed ""the library is literwly packed. Can i relax""",relax,happy,the library is literwly packed. Can i relax,relax
5492," #36:  Cindy Newnham ed ""Your weekly tip from the team  Lifelinealarms to remember to test your smoke and carbon monoxide detectors today #TestItTuesday then relax and enjoy this lovely Spring day. https://t.co/lzQBlrNM2q""",relax,happy,Your weekly tip from the team  Lifelinealarms to remember to test your smoke and carbon monoxide detectors today #TestItTuesday then relax and enjoy this lovely Spring day. https://t.co/lzQBlrNM2q,relax
5493," #37:  Dina ed ""  ezzzeldien: relax, every  isn't about you.""",relax,happy,"  ezzzeldien: relax, every  isn't about you.",relax
5494," #38:  Ciara Lawrence ed ""  Danwhite1972: And to see you off to sleep, to relax those weary bones, to put you in a vibe of calm... Emily hitting the swingball. htt…""",relax,happy,"  Danwhite1972: And to see you off to sleep, to relax those weary bones, to put you in a vibe of calm... Emily hitting the swingball. htt…",relax
5495," #39:  KxGaa ed ""  Laxhawthorn007: GOING LIVE NOW GUYS!!!!RELAX WITH LAX!!!THE CRAZIEST DAYZ CHANNEL ON TWITCH!!https://t.co/QRxVFm75BD https://t.co/zN…""",relax,happy,  Laxhawthorn007: GOING LIVE NOW GUYS!!!!RELAX WITH LAX!!!THE CRAZIEST DAYZ CHANNEL ON TWITCH!!https://t.co/QRxVFm75BD https://t.co/zN…,relax
5496," #40:  I AM GROOT ed ""Maria you just have to get through this week, then you can relax a little""",relax,happy,"Maria you just have to get through this week, then you can relax a little",relax
5497," #41:  AISEL ed ""  GezindabaZA: Relax, this is just an app.""",relax,happy,"  GezindabaZA: Relax, this is just an app.",relax
5498," #42:  💞DeeDee💞 ed ""  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.""",relax,happy,"  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.",relax
5499," #43:  EMG ed ""  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.""",relax,happy,"  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.",relax
5500," #44:  加茂川＠ブログ仲間(･ω･`*) ed ""  EnjoyNature: Beautiful beach and pier at sunset#travel #nature #photo #holiday #ocean #beauty #photography #relaxnature and photogra…""",relax,happy,  EnjoyNature: Beautiful beach and pier at sunset#travel #nature #photo #holiday #ocean #beauty #photography #relaxnature and photogra…,relax
5501," #45:  Monam ed ""  WanderlustXL: Beach or swimming pool? #travel #traveltribe #travelmore #travelnow #vacaciones #vacation #holiday #libur #nature #natura…""",relax,happy,  WanderlustXL: Beach or swimming pool? #travel #traveltribe #travelmore #travelnow #vacaciones #vacation #holiday #libur #nature #natura…,relax
5502," #46:  Tèmítópé ed ""  oladayo01: What are you up to this Saturday? Join us for a few hours of #Aerobics 🤸🏾‍♂️, #Boxing 🥊, #Yoga and #Dance 💃🏾. 📆: 11th May,…""",relax,happy,"  oladayo01: What are you up to this Saturday? Join us for a few hours of #Aerobics 🤸🏾‍♂️, #Boxing 🥊, #Yoga and #Dance 💃🏾. 📆: 11th May,…",relax
5503," #47:  ANCIENT ed ""  smajac3: I love the Olympics. I always take time out of my busy day to relax on the sofa and view the Olympics on my television set.""",relax,happy,  smajac3: I love the Olympics. I always take time out of my busy day to relax on the sofa and view the Olympics on my television set.,relax
5504," #48:  RAD DODG3Y (Dlive.tv) ed "" GRUNToEspos  ring_of_elysium Yeah stopped to get coffee and relax for a bit. Before my keyboard ends up as apa of my monitor https://t.co/c7taT4avSz""",relax,happy, GRUNToEspos  ring_of_elysium Yeah stopped to get coffee and relax for a bit. Before my keyboard ends up as apa of my monitor https://t.co/c7taT4avSz,relax
5505," #49:  Kimberly Perkins ed ""  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.""",relax,happy,"  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.",relax
5506," #50:  👸🏼🧜🏽‍♀️🦄C H A R🌸🎀🧚🏼‍♀️ ed ""Thank goodness that’s over 🥳 and relax for 4 weeks 💖""",relax,happy,Thank goodness that’s over 🥳 and relax for 4 weeks 💖,relax
5507," #51:  .T. ed ""Lmaooo. This man needs to relax https://t.co/Mj3TPzdyIM""",relax,happy,Lmaooo. This man needs to relax https://t.co/Mj3TPzdyIM,relax
5508," #52:  Chidi ed ""  JenniferOssai4:  Chi_don34 Nna,relax let's call you ""king""🙄 small fine picture and his girlie face is swelling.😜""",relax,happy,"  JenniferOssai4:  Chi_don34 Nna,relax let's call you ",relax
5509," #53:  Maxie Hay ed ""A natural way to get your beauty sleep!#princesanailsnbeauty #beauty #natural #relax #sleepy #goodnight https://t.co/vCqurhcomK""",relax,happy,A natural way to get your beauty sleep!#princesanailsnbeauty #beauty #natural #relax #sleepy #goodnight https://t.co/vCqurhcomK,relax
5510," #54:  IG:  sodathreads 🌷 ed ""fifty ways to relax ☀️ https://t.co/kkIkTdhrWq""",relax,happy,fifty ways to relax ☀️ https://t.co/kkIkTdhrWq,relax
5511," #55:  Asma here😎 ed "" Ha5San_  hariswaheed222 Hahah chill relax karo""",relax,happy, Ha5San_  hariswaheed222 Hahah chill relax karo,relax
5512," #56:  El Caballo Goloso ed ""  PtosLiterarios: Disfruta de un delicioso pastel aesano mientras lees Tras el sueño de la princesa en la pastelería  ElCaballoGoloso y…""",relax,happy,  PtosLiterarios: Disfruta de un delicioso pastel aesano mientras lees Tras el sueño de la princesa en la pastelería  ElCaballoGoloso y…,relax
5513," #57:  J A Y ed ""  bhogleharsha: Get along very well with  sanjaymanjrekar including sharing songs we might have heard. We are passionate cricket lovers w…""",relax,happy,  bhogleharsha: Get along very well with  sanjaymanjrekar including sharing songs we might have heard. We are passionate cricket lovers w…,relax
5514," #58:  Tosha ed ""  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.""",relax,happy,"  StephanSpeaks: Worry and stress won’t change anything. Pray, relax, and trust God.",relax
5515," #59:  kashaf ed "" aneesfkk1 Beti last time mein ne reddish sa eye makeup bhe kea tha. It made me feel very relax and I ended up with an A. Tum bhe karna iss daffa""",relax,happy, aneesfkk1 Beti last time mein ne reddish sa eye makeup bhe kea tha. It made me feel very relax and I ended up with an A. Tum bhe karna iss daffa,relax
5516," #60:  RELAX  Bar 堂山 ed ""お知らせ🔔本日5/7(火)GW振りかえ休日とさせて頂きます。よろしくお願い致しますm(__)m""",relax,happy,お知らせ🔔本日5/7(火)GW振りかえ休日とさせて頂きます。よろしくお願い致しますm(__)m,relax
5517," #61:  Lisa Hobman Author ed ""  daisyjamesbooks: Why not fly over to Tuscany & relax on the terrace at Villa Limoncello? 🍋🇮🇹🍸☀️🍋🇮🇹🍸☀️🍋🇮🇹🍸☀️#TuesNews  RNAs #Italy…""",relax,happy,  daisyjamesbooks: Why not fly over to Tuscany & relax on the terrace at Villa Limoncello? 🍋🇮🇹🍸☀️🍋🇮🇹🍸☀️🍋🇮🇹🍸☀️#TuesNews  RNAs #Italy…,relax
5518," #62:  Saba Suites KlCC Bukit Bintang ed ""What's the best way to relax by the poolRead a book 📖listen to music 🎧take a nap 💞or something else?share your opinion with us #WE_or_never #WINNER_WE   #malaysian #malaysia #kualalumpur #sayajual #like #selangor #likeforlikes #likes #sayajualmurah #bazaarpaknil #klcc https://t.co/i55tVQLb2h""",relax,happy,What's the best way to relax by the poolRead a book 📖listen to music 🎧take a nap 💞or something else?share your opinion with us #WE_or_never #WINNER_WE   #malaysian #malaysia #kualalumpur #sayajual #like #selangor #likeforlikes #likes #sayajualmurah #bazaarpaknil #klcc https://t.co/i55tVQLb2h,relax
5519," #63:  allanwolf ed ""  OfWudan: Finding people who are genuinely hungry for money and want to do the work is near impossible.“Oh this weekend I have to..”“…""",relax,happy,  OfWudan: Finding people who are genuinely hungry for money and want to do the work is near impossible.“Oh this weekend I have to..”“…,relax
5520," #64:  Pattaya Nightlife ed ""  WindmillPattaya: I want 'relax' with you xxx https://t.co/5ERhzGxFa2""",relax,happy,  WindmillPattaya: I want 'relax' with you xxx https://t.co/5ERhzGxFa2,relax
5521," #65:  UCD Library ed ""  UCDSAdvisers: We might not have llamas in our offices 😁 but we are all here for advice & suppo as we head into the #UCDexams period #…""",relax,happy,  UCDSAdvisers: We might not have llamas in our offices 😁 but we are all here for advice & suppo as we head into the #UCDexams period #…,relax
5522," #66:  Toluwaleke ed ""What are you up to this Saturday? Join us for a few hours of #Aerobics 🤸🏾‍♂️, #Boxing 🥊, #Yoga and #Dance 💃🏾. 📆: 11th May, 2019🕢: 7:30am📍: The Incubator, Abiodun Yesufu Way, Oniru, Lagos. f5_zone#F5 #Refresh #Connect #MeetUp #Relax #Network #Fitness #Fitfam https://t.co/4bBdJ48DGh""",relax,happy,"What are you up to this Saturday? Join us for a few hours of #Aerobics 🤸🏾‍♂️, #Boxing 🥊, #Yoga and #Dance 💃🏾. 📆: 11th May, 2019🕢: 7:30am📍: The Incubator, Abiodun Yesufu Way, Oniru, Lagos. f5_zone#F5 #Refresh #Connect #MeetUp #Relax #Network #Fitness #Fitfam https://t.co/4bBdJ48DGh",relax
5523," #67:  Alex Hynes ed ""  VisitScotNews: And relax! 😊We've just launched our first itinerary dedicated to health and wellbeing, as newly-published research shows…""",relax,happy,"  VisitScotNews: And relax! 😊We've just launched our first itinerary dedicated to health and wellbeing, as newly-published research shows…",relax
5524," #68:  Paula Doyle ed ""  365Smilemore: Relax, you’ll be okay. 😌""",relax,happy,"  365Smilemore: Relax, you’ll be okay. 😌",relax
5525," #69:  elle ed ""pwde mo relax sa?""",relax,happy,pwde mo relax sa?,relax
5526," #70:  Kay Dunkley ed "" rseglenieks  easternhealthau What a great way to relax!""",relax,happy, rseglenieks  easternhealthau What a great way to relax!,relax
5527," #71:  PuntosLiterarios ed ""Disfruta de un delicioso pastel aesano mientras lees Tras el sueño de la princesa en la pastelería  ElCaballoGoloso y regalate un momento de relax gracias a las  ViasLiterarias de  BarriosdeLetras #Torrelodones #madrid #traselsueñodelaprincesa #literatura de   ElDeseoEscribir https://t.co/V6JFhvc72r""",relax,happy,Disfruta de un delicioso pastel aesano mientras lees Tras el sueño de la princesa en la pastelería  ElCaballoGoloso y regalate un momento de relax gracias a las  ViasLiterarias de  BarriosdeLetras #Torrelodones #madrid #traselsueñodelaprincesa #literatura de   ElDeseoEscribir https://t.co/V6JFhvc72r,relax
5528," #72:  drbdextre ed ""  HeroLager: While you hustle your way to the top, take some time out to relax with those who matter. All work and no play makes Jack a w…""",relax,happy,"  HeroLager: While you hustle your way to the top, take some time out to relax with those who matter. All work and no play makes Jack a w…",relax
5529," #73:  Dream courage hope ed ""【α波 睡眠用BGM】「一人静かにぐっすり寝る音楽BGM」 〜relax BGM -YouTube BGM 〜 https://t.co/OsgRMl9hmz""",relax,happy,【α波 睡眠用BGM】「一人静かにぐっすり寝る音楽BGM」 〜relax BGM -YouTube BGM 〜 https://t.co/OsgRMl9hmz,relax
5530," #74:  🐲 sleepy pokemon trainer 🐲 ed "" Telos954x  WesternIdentity  BeigeShiba but it does ""relax"" (sedate) you""",relax,happy, Telos954x  WesternIdentity  BeigeShiba but it does ,relax
5531," #1:  Nyaatchi ed ""I'm bored now... https://t.co/XHPrNOTJLw""",bore,sad,I'm bored now... https://t.co/XHPrNOTJLw,bore
5532," #2:  This Is What I Like ed ""This Is What Happens When Bookstore Employees Get Bored https://t.co/Kl2Bs2OGg7""",bore,sad,This Is What Happens When Bookstore Employees Get Bored https://t.co/Kl2Bs2OGg7,bore
5533," #3:  بلال ed ""  yassirjadain: I got bored https://t.co/YQlXW4Ozcy""",bore,sad,  yassirjadain: I got bored https://t.co/YQlXW4Ozcy,bore
5534," #4:  cαт ✿ ed ""  heyitsyeonjun: im bored lmao  for an account rate❤️ https://t.co/pGfcuil9G4""",bore,sad,  heyitsyeonjun: im bored lmao  for an account rate❤️ https://t.co/pGfcuil9G4,bore
5535," #5:  Chance Taylor ed ""  BraedenLemaster: how do u like dem karate late night bored game trilogy video apples""",bore,sad,  BraedenLemaster: how do u like dem karate late night bored game trilogy video apples,bore
5536," #6:  Lara ed ""  fairyinysl: she’s hot but i’m bored https://t.co/IxBH38wx2i""",bore,sad,  fairyinysl: she’s hot but i’m bored https://t.co/IxBH38wx2i,bore
5537," #7:  暇な男子大生 ed ""口元が緩いホモ、大体股もユルい""",bore,sad,口元が緩いホモ、大体股もユルい,bore
5538," #8:  arsd📌 army with luv💜 ed ""can y'all suggest some apps that are fun to play? im really bored rn T^T""",bore,sad,can y'all suggest some apps that are fun to play? im really bored rn T^T,bore
5539," #9:  Lorena ed ""  galorebutera: she snaps during break up with your girlfriend im bored😍 i can not wait to see this live omg!credit to whoever filmed th…""",bore,sad,  galorebutera: she snaps during break up with your girlfriend im bored😍 i can not wait to see this live omg!credit to whoever filmed th…,bore
5540," #10:  🖤 ed ""Search for something I’m missing and disappear when I’m bored""",bore,sad,Search for something I’m missing and disappear when I’m bored,bore
5541," #11:  ydrihT🌈 ed ""THANK YOU FOR TEXTING ME WHEN YOURE BORED.,MUCH APPRECIATED😊""",bore,sad,"THANK YOU FOR TEXTING ME WHEN YOURE BORED.,MUCH APPRECIATED😊",bore
5542," #12:  Soliloquy ed ""  Andrew__Kennedy: I'm getting a little bored with LibDems claiming their ""success"" is reflective of a ""mass anti Brexit movement"". The r…""",bore,sad,  Andrew__Kennedy: I'm getting a little bored with LibDems claiming their ,bore
5543," #13:  👸🏾 ed ""  Zybrionaa: I hate falling out with my man 😂😩 like you my whole hea, you my only friend I’m bored without you""",bore,sad,"  Zybrionaa: I hate falling out with my man 😂😩 like you my whole hea, you my only friend I’m bored without you",bore
5544," #14:  aira kunisawa banzon ed ""heyy im bored, stressed, and downtata tara talk ta""",bore,sad,"heyy im bored, stressed, and downtata tara talk ta",bore
5545," #15:  I'm Lonely What Can I Do ed ""  jodieebot: I’m so bored of being lonely can an astrology girl tell me I’m in denial over being old and want to date this burger rn.""",bore,sad,  jodieebot: I’m so bored of being lonely can an astrology girl tell me I’m in denial over being old and want to date this burger rn.,bore
5546," #16:  rennai 🏳️‍🌈 ed ""are there any new toruka fanfics on ao3? recommend pls i’m bored ;-;""",bore,sad,are there any new toruka fanfics on ao3? recommend pls i’m bored ;-;,bore
5547," #17:  siomaicake ed ""bored gusto kong manakal ng taong tanong ng tanong sa cc mo""",bore,sad,bored gusto kong manakal ng taong tanong ng tanong sa cc mo,bore
5548," #18:  さとけん ed "" bored_cw なにそれ、かわいい""",bore,sad, bored_cw なにそれ、かわいい,bore
5549," #19:  🍑あひる💦🐸 ed "" being_bored___ 全部好きだけど1枚目が1番好きかなぁ！！""",bore,sad, being_bored___ 全部好きだけど1枚目が1番好きかなぁ！！,bore
5550," #20:  الدم قصاد الدم ed ""  yassirjadain: I got bored https://t.co/YQlXW4Ozcy""",bore,sad,  yassirjadain: I got bored https://t.co/YQlXW4Ozcy,bore
5551," #21:  Pamsy ed ""Im so bored matulog nalang kaya ulit ako""",bore,sad,Im so bored matulog nalang kaya ulit ako,bore
5552," #22:  john ed ""Bored at #Barking""",bore,sad,Bored at #Barking,bore
5553," #23:  𝒦𝒶𝓎𝓁𝑒𝒾𝑔𝒽 💋 ed ""trying not to eat when you’re bored is one of the hardest things to do EVER😩""",bore,sad,trying not to eat when you’re bored is one of the hardest things to do EVER😩,bore
5554," #24:  ємιℓу ed ""Kind of shocked that the consensus on the latest GoT episode is so negative. I really liked it. Felt like old times🍷Arya and the Hound are adventurin' again and color has returned!!! I was getting pretty bored of drab, dead and gray 😖""",bore,sad,"Kind of shocked that the consensus on the latest GoT episode is so negative. I really liked it. Felt like old times🍷Arya and the Hound are adventurin' again and color has returned!!! I was getting pretty bored of drab, dead and gray 😖",bore
5555," #25:  Joe Schultz ed "" jaketapper  BillWeirCNN  TheLeadCNN You guys need a new schtick, everyone is bored with the same shit from the 60’s""",bore,sad," jaketapper  BillWeirCNN  TheLeadCNN You guys need a new schtick, everyone is bored with the same shit from the 60’s",bore
5556," #26:  ❦ ed "" Q_Choppie Lmaoooooo if I’m right about who he bored as Fuck""",bore,sad, Q_Choppie Lmaoooooo if I’m right about who he bored as Fuck,bore
5557," #27:  Kyo 🐝 ed ""bored""",bore,sad,bored,bore
5558," #28:  pjams 🌟ARSD📌🌟 ed ""  shelovesbts_: LF:FANBOY NA JOWA,DESPERADA AKO KUNWARI HSHSHHAHA GUSTO KO LANG NAMAN NG MAY KA CHT PAG BORED TAS MAY MAGAALALA SAKIN G…""",bore,sad,"  shelovesbts_: LF:FANBOY NA JOWA,DESPERADA AKO KUNWARI HSHSHHAHA GUSTO KO LANG NAMAN NG MAY KA CHT PAG BORED TAS MAY MAGAALALA SAKIN G…",bore
5559," #29:  statue ed ""  winkingnamja: MAYs ARE BORED. WE NEED OUR BOY 🤣 https://t.co/dH9fURPzEb""",bore,sad,  winkingnamja: MAYs ARE BORED. WE NEED OUR BOY 🤣 https://t.co/dH9fURPzEb,bore
5560," #30:  Bonk & Jerk ed ""  RickBColby: If you get bored of your story, you’ll change it.""",bore,sad,"  RickBColby: If you get bored of your story, you’ll change it.",bore
5561," #31:  paulazs ed ""Bored na bored na ko""",bore,sad,Bored na bored na ko,bore
5562," #32:  Jamjamjam ed ""  mysjaebum: I'll know when i made it in life when Imma be so bored that I'll buy my got7 dolls mini pool floats and let them chill in th…""",bore,sad,  mysjaebum: I'll know when i made it in life when Imma be so bored that I'll buy my got7 dolls mini pool floats and let them chill in th…,bore
5563," #33:  Avis McKenna ed ""  Chromattt: am bored send me memeswhats better""",bore,sad,  Chromattt: am bored send me memeswhats better,bore
5564," #34:  Jess🤠 ed ""Posting a selfie cos am bored x https://t.co/h514vTeEbS""",bore,sad,Posting a selfie cos am bored x https://t.co/h514vTeEbS,bore
5565," #35:  - ed ""sanak metla masapol nu bored ka 🤷""",bore,sad,sanak metla masapol nu bored ka 🤷,bore
5566," #36:  Aliz ed "" PlayHeahstone In my country there aren’t that much players and I live in a small town and of my friends likes the game so I really hate this ! Basically I play the game when I an alone or bored because a game should enteain you and light the mode, now with the new events it won’t be the same""",bore,sad," PlayHeahstone In my country there aren’t that much players and I live in a small town and of my friends likes the game so I really hate this ! Basically I play the game when I an alone or bored because a game should enteain you and light the mode, now with the new events it won’t be the same",bore
5567," #37:  e z r a h ed ""  dreyun_7: im bored🍟PLUG🎉 🍟PLUG🎉 🍟PLUG🎉✔FOLLOW ME  dreyun_7✔LIKE THIS ❤✔RE THIS 🔁✔DROP YOUR USERNAME😉SURELY DO I…""",bore,sad,  dreyun_7: im bored🍟PLUG🎉 🍟PLUG🎉 🍟PLUG🎉✔FOLLOW ME  dreyun_7✔LIKE THIS ❤✔RE THIS 🔁✔DROP YOUR USERNAME😉SURELY DO I…,bore
